Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_6_DOWN, AS_chimint_backbone, 5460
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_1_UP, AS_chimint_backbone, 5466
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_10_DOWN, AS_chimint_backbone, 5470
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_5_UP, AS_chimint_backbone, 5471
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_14_DOWN, AS_chimint_backbone, 5474
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_9_UP, AS_chimint_backbone, 5475
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_18_DOWN, AS_chimint_backbone, 5477
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_11_UP, AS_chimint_backbone, 5480
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_3_DOWN, AS_chimint_backbone, 5481
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_15_UP, AS_chimint_backbone, 5482
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_7_DOWN, AS_chimint_backbone, 5484
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_19_UP, AS_chimint_backbone, 5485
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_4_UP, AS_chimint_backbone, 5488
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_11_DOWN, AS_chimint_backbone, 5489
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_8_UP, AS_chimint_backbone, 5490
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_15_DOWN, AS_chimint_backbone, 5491
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_19_DOWN, AS_chimint_backbone, 5493
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_10_UP, AS_chimint_backbone, 5496
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_20_UP, AS_chimint_backbone, 5498
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_14_UP, AS_chimint_backbone, 5499
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_4_DOWN, AS_chimint_backbone, 5502
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_18_UP, AS_chimint_backbone, 5503
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_8_DOWN, AS_chimint_backbone, 5506
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_3_UP, AS_chimint_backbone, 5508
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_20_DOWN, AS_chimint_backbone, 5510
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_12_DOWN, AS_chimint_backbone, 5511
Link, AS_chimint, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chimint_link_7_UP, AS_chimint_backbone, 5512
Link, AS_chimint, L2-ROUTER15-LINK11, 0.000000, 0.000000, 0.000000, topology, chimint-AS_chimint_router.lille.grid5000.fr, AS_chimint_backbone, 5457
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-2.lille.grid5000.fr, AS_chicon_link_2_UP, 5546
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-11.lille.grid5000.fr, AS_chicon_link_11_UP, 5547
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-9.lille.grid5000.fr, AS_chicon_link_9_DOWN, 5549
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-12.lille.grid5000.fr, AS_chicon_link_12_UP, 5551
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-19.lille.grid5000.fr, AS_chicon_link_19_DOWN, 5552
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-13.lille.grid5000.fr, AS_chicon_link_13_UP, 5553
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-14.lille.grid5000.fr, AS_chicon_link_14_UP, 5554
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-6.lille.grid5000.fr, AS_chicon_link_6_UP, 5556
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-15.lille.grid5000.fr, AS_chicon_link_15_UP, 5557
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-16.lille.grid5000.fr, AS_chicon_link_16_UP, 5558
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-17.lille.grid5000.fr, AS_chicon_link_17_UP, 5561
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-18.lille.grid5000.fr, AS_chicon_link_18_UP, 5562
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-19.lille.grid5000.fr, AS_chicon_link_19_UP, 5566
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-2.lille.grid5000.fr, AS_chicon_link_2_DOWN, 5567
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-6.lille.grid5000.fr, AS_chicon_link_6_DOWN, 5571
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-1.lille.grid5000.fr, AS_chicon_link_1_UP, 5574
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-5.lille.grid5000.fr, AS_chicon_link_5_UP, 5578
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-9.lille.grid5000.fr, AS_chicon_link_9_UP, 5583
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-10.lille.grid5000.fr, AS_chicon_link_10_DOWN, 5585
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-20.lille.grid5000.fr, AS_chicon_link_20_DOWN, 5587
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-3.lille.grid5000.fr, AS_chicon_link_3_DOWN, 5588
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-12.lille.grid5000.fr, AS_chicon_link_12_DOWN, 5589
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-22.lille.grid5000.fr, AS_chicon_link_22_DOWN, 5590
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-14.lille.grid5000.fr, AS_chicon_link_14_DOWN, 5591
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-24.lille.grid5000.fr, AS_chicon_link_24_DOWN, 5594
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-7.lille.grid5000.fr, AS_chicon_link_7_DOWN, 5596
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-16.lille.grid5000.fr, AS_chicon_link_16_DOWN, 5597
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-26.lille.grid5000.fr, AS_chicon_link_26_DOWN, 5600
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-20.lille.grid5000.fr, AS_chicon_link_20_UP, 5601
