State, graphene-6.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 46.542111, 60.257598, 13.715487, 0.000000, END
State, graphene-6.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 60.257598, 61.572447, 1.314849, 0.000000, BEGIN
State, graphene-6.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 61.572447, 123.511293, 61.938846, 0.000000, END
State, graphene-6.nancy.grid5000.fr, MAP-EXECUTION, 15.066351, 21.064072, 5.997721, 0.000000, BEGIN
State, graphene-6.nancy.grid5000.fr, MAP-EXECUTION, 21.064072, 123.511293, 102.447221, 0.000000, END
State, graphene-6.nancy.grid5000.fr, REDUCE-EXECUTION, 46.542111, 61.572447, 15.030336, 0.000000, BEGIN
State, graphene-6.nancy.grid5000.fr, REDUCE-EXECUTION, 61.572447, 91.488985, 29.916538, 0.000000, BEGIN
State, graphene-6.nancy.grid5000.fr, REDUCE-EXECUTION, 91.488985, 106.519320, 15.030335, 0.000000, END
State, graphene-6.nancy.grid5000.fr, REDUCE-EXECUTION, 106.519320, 123.511293, 16.991973, 0.000000, END
State, graphene-5.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.062448, 15.062448, 0.000000, 0.000000, BEGIN
State, graphene-5.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.062448, 123.511293, 108.448845, 0.000000, END
State, graphene-5.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 45.206859, 46.477309, 1.270450, 0.000000, BEGIN
State, graphene-5.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 46.477309, 60.253695, 13.776386, 0.000000, END
State, graphene-5.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 60.253695, 61.408488, 1.154793, 0.000000, BEGIN
State, graphene-5.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 61.408488, 123.511293, 62.102805, 0.000000, END
State, graphene-5.nancy.grid5000.fr, MAP-EXECUTION, 15.062448, 21.060169, 5.997721, 0.000000, BEGIN
State, graphene-5.nancy.grid5000.fr, MAP-EXECUTION, 21.060169, 123.511293, 102.451124, 0.000000, END
State, graphene-5.nancy.grid5000.fr, REDUCE-EXECUTION, 46.477309, 61.408488, 14.931179, 0.000000, BEGIN
State, graphene-5.nancy.grid5000.fr, REDUCE-EXECUTION, 61.408488, 91.523338, 30.114850, 0.000000, BEGIN
State, graphene-5.nancy.grid5000.fr, REDUCE-EXECUTION, 91.523338, 106.454518, 14.931180, 0.000000, END
State, graphene-5.nancy.grid5000.fr, REDUCE-EXECUTION, 106.454518, 123.511293, 17.056775, 0.000000, END
State, graphene-4.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.058545, 15.058545, 0.000000, 0.000000, BEGIN
State, graphene-4.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.058545, 123.511293, 108.452748, 0.000000, END
State, graphene-4.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 45.202956, 46.446550, 1.243594, 0.000000, BEGIN
State, graphene-4.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 46.446550, 60.249792, 13.803242, 0.000000, END
State, graphene-4.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 60.249792, 61.319526, 1.069734, 0.000000, BEGIN
State, graphene-4.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 61.319526, 123.511293, 62.191767, 0.000000, END
State, graphene-4.nancy.grid5000.fr, MAP-EXECUTION, 15.058545, 21.056266, 5.997721, 0.000000, BEGIN
State, graphene-4.nancy.grid5000.fr, MAP-EXECUTION, 21.056266, 123.511293, 102.455027, 0.000000, END
State, graphene-4.nancy.grid5000.fr, REDUCE-EXECUTION, 46.446550, 61.319526, 14.872976, 0.000000, BEGIN
State, graphene-4.nancy.grid5000.fr, REDUCE-EXECUTION, 61.319526, 91.550783, 30.231257, 0.000000, BEGIN
State, graphene-4.nancy.grid5000.fr, REDUCE-EXECUTION, 91.550783, 106.423759, 14.872976, 0.000000, END
State, graphene-4.nancy.grid5000.fr, REDUCE-EXECUTION, 106.423759, 123.511293, 17.087534, 0.000000, END
State, graphene-3.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.054642, 15.054642, 0.000000, 0.000000, BEGIN
State, graphene-3.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.054642, 30.144411, 15.089769, 0.000000, END
State, graphene-3.nancy.grid5000.fr, MAP-INPUT-FETCHING, 30.144411, 30.144411, 0.000000, 0.000000, BEGIN
State, graphene-3.nancy.grid5000.fr, MAP-INPUT-FETCHING, 30.144411, 123.511293, 93.366882, 0.000000, END
State, graphene-3.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 45.199053, 46.392582, 1.193529, 0.000000, BEGIN
State, graphene-3.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 46.392582, 60.245889, 13.853307, 0.000000, END
State, graphene-3.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 60.245889, 61.159431, 0.913542, 0.000000, BEGIN
State, graphene-3.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 61.159431, 123.511293, 62.351862, 0.000000, END
State, graphene-3.nancy.grid5000.fr, MAP-EXECUTION, 15.054642, 21.052363, 5.997721, 0.000000, BEGIN
State, graphene-3.nancy.grid5000.fr, MAP-EXECUTION, 21.052363, 30.144411, 9.092048, 0.000000, END
State, graphene-3.nancy.grid5000.fr, MAP-EXECUTION, 30.144411, 36.142132, 5.997721, 0.000000, BEGIN
State, graphene-3.nancy.grid5000.fr, MAP-EXECUTION, 36.142132, 123.511293, 87.369161, 0.000000, END
State, graphene-3.nancy.grid5000.fr, REDUCE-EXECUTION, 46.392582, 61.159431, 14.766849, 0.000000, BEGIN
State, graphene-3.nancy.grid5000.fr, REDUCE-EXECUTION, 61.159431, 91.602942, 30.443511, 0.000000, BEGIN
State, graphene-3.nancy.grid5000.fr, REDUCE-EXECUTION, 91.602942, 106.369791, 14.766849, 0.000000, END
State, graphene-3.nancy.grid5000.fr, REDUCE-EXECUTION, 106.369791, 123.511293, 17.141502, 0.000000, END
State, graphene-2.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.050739, 15.050739, 0.000000, 0.000000, BEGIN
State, graphene-2.nancy.grid5000.fr, MAP-INPUT-FETCHING, 15.050739, 30.140508, 15.089769, 0.000000, END
State, graphene-2.nancy.grid5000.fr, MAP-INPUT-FETCHING, 30.140508, 30.140508, 0.000000, 0.000000, BEGIN
State, graphene-2.nancy.grid5000.fr, MAP-INPUT-FETCHING, 30.140508, 123.511293, 93.370785, 0.000000, END
State, graphene-2.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 45.195150, 45.964471, 0.769321, 0.000000, BEGIN
State, graphene-2.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 45.964471, 60.241986, 14.277515, 0.000000, END
State, graphene-2.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 60.241986, 60.978244, 0.736258, 0.000000, BEGIN
State, graphene-2.nancy.grid5000.fr, REDUCE-INPUT-FETCHING, 60.978244, 123.511293, 62.533049, 0.000000, END
State, graphene-2.nancy.grid5000.fr, MAP-EXECUTION, 15.050739, 21.048460, 5.997721, 0.000000, BEGIN
State, graphene-2.nancy.grid5000.fr, MAP-EXECUTION, 21.048460, 30.140508, 9.092048, 0.000000, END
State, graphene-2.nancy.grid5000.fr, MAP-EXECUTION, 30.140508, 36.138229, 5.997721, 0.000000, BEGIN
State, graphene-2.nancy.grid5000.fr, MAP-EXECUTION, 36.138229, 123.511293, 87.373064, 0.000000, END
State, graphene-2.nancy.grid5000.fr, REDUCE-EXECUTION, 45.964471, 60.978244, 15.013773, 0.000000, BEGIN
State, graphene-2.nancy.grid5000.fr, REDUCE-EXECUTION, 60.978244, 90.927908, 29.949664, 0.000000, BEGIN
State, graphene-2.nancy.grid5000.fr, REDUCE-EXECUTION, 90.927908, 105.941680, 15.013772, 0.000000, END
State, graphene-2.nancy.grid5000.fr, REDUCE-EXECUTION, 105.941680, 123.511293, 17.569613, 0.000000, END
State, graphene-1.nancy.grid5000.fr, BLOCK, 0.000000, 15.000000, 15.000000, 0.000000, COMPUTATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 15.000000, 15.046836, 0.046836, 0.000000, AGGREGATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 15.046836, 30.046836, 15.000000, 0.000000, COMPUTATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 30.046836, 30.136605, 0.089769, 0.000000, AGGREGATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 30.136605, 45.136605, 15.000000, 0.000000, COMPUTATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 45.136605, 45.191247, 0.054642, 0.000000, AGGREGATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 45.191247, 60.191247, 15.000000, 0.000000, COMPUTATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 60.191247, 60.238083, 0.046836, 0.000000, AGGREGATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 60.238083, 75.238083, 15.000000, 0.000000, COMPUTATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 75.238083, 75.284919, 0.046836, 0.000000, AGGREGATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 75.284919, 90.284919, 15.000000, 0.000000, COMPUTATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 90.284919, 90.335658, 0.050739, 0.000000, AGGREGATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 90.335658, 105.335658, 15.000000, 0.000000, COMPUTATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 105.335658, 105.421524, 0.085866, 0.000000, AGGREGATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 105.421524, 120.421524, 15.000000, 0.000000, COMPUTATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 120.421524, 120.507390, 0.085866, 0.000000, AGGREGATION
State, graphene-1.nancy.grid5000.fr, BLOCK, 120.507390, 123.511293, 3.003903, 0.000000, COMPUTATION
State, graphene-1.nancy.grid5000.fr, MAP, 15.046836, 15.050739, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 15.050739, 15.054642, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 15.054642, 15.058545, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 15.058545, 15.062448, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 15.062448, 15.066351, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 15.066351, 15.070254, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 15.070254, 15.074157, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 15.074157, 15.078060, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 15.078060, 15.081963, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 15.081963, 15.085866, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 15.085866, 30.136605, 15.050739, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 30.136605, 30.140508, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 30.140508, 45.234180, 15.093672, 0.000000, START
State, graphene-1.nancy.grid5000.fr, MAP, 45.234180, 123.511293, 78.277113, 0.000000, END
State, graphene-1.nancy.grid5000.fr, REDUCE, 45.191247, 45.195150, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 45.195150, 45.199053, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 45.199053, 45.202956, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 45.202956, 45.206859, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 45.206859, 45.210762, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 45.210762, 45.214665, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 45.214665, 45.218568, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 45.218568, 45.222471, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 45.222471, 45.226374, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 45.226374, 45.230277, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 45.230277, 60.238083, 15.007806, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 60.238083, 60.241986, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 60.241986, 60.245889, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 60.245889, 60.249792, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 60.249792, 60.253695, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 60.253695, 60.257598, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 60.257598, 60.261501, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 60.261501, 60.265404, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 60.265404, 60.269307, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 60.269307, 60.273210, 0.003903, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 60.273210, 120.507390, 60.234180, 0.000000, START
State, graphene-1.nancy.grid5000.fr, REDUCE, 120.507390, 123.511293, 3.003903, 0.000000, END
