State, 100152889, MAP-EXECUTION, 83.874968, 90.672987, 6.798019, 0.000000, END
State, 100152889, MAP-EXECUTION, 90.672987, 135.348560, 44.675573, 0.000000, BEGIN
State, 100152889, MAP-EXECUTION, 135.348560, 136.831181, 1.482621, 0.000000, END
State, 100152889, MAP-EXECUTION, 136.831181, 180.493944, 43.662763, 0.000000, BEGIN
State, 100152889, MAP-EXECUTION, 180.493944, 818.707375, 638.213431, 0.000000, END
State, 100152889, REDUCE-EXECUTION, 224.002604, 240.186470, 16.183866, 0.000000, BEGIN
State, 100152889, REDUCE-EXECUTION, 240.186470, 722.095934, 481.909464, 0.000000, BEGIN
State, 100152889, REDUCE-EXECUTION, 722.095934, 793.641202, 71.545268, 0.000000, END
State, 100152889, REDUCE-EXECUTION, 793.641202, 818.707375, 25.066173, 0.000000, END
State, 100144483, MAP-INPUT-FETCHING, 20.920548, 20.920548, 0.000000, 0.000000, BEGIN
State, 100144483, MAP-INPUT-FETCHING, 20.920548, 107.142790, 86.222242, 0.000000, END
State, 100144483, MAP-INPUT-FETCHING, 107.142790, 107.142790, 0.000000, 0.000000, BEGIN
State, 100144483, MAP-INPUT-FETCHING, 107.142790, 818.707375, 711.564585, 0.000000, END
State, 100144483, REDUCE-INPUT-FETCHING, 211.570077, 226.882426, 15.312349, 0.000000, BEGIN
State, 100144483, REDUCE-INPUT-FETCHING, 226.882426, 227.685546, 0.803120, 0.000000, BEGIN
State, 100144483, REDUCE-INPUT-FETCHING, 227.685546, 242.445212, 14.759666, 0.000000, END
State, 100144483, REDUCE-INPUT-FETCHING, 242.445212, 818.707375, 576.262163, 0.000000, END
State, 100144483, MAP-EXECUTION, 20.920548, 92.349120, 71.428572, 0.000000, BEGIN
State, 100144483, MAP-EXECUTION, 92.349120, 107.142790, 14.793670, 0.000000, END
State, 100144483, MAP-EXECUTION, 107.142790, 136.848560, 29.705770, 0.000000, BEGIN
State, 100144483, MAP-EXECUTION, 136.848560, 818.707375, 681.858815, 0.000000, END
State, 100144483, REDUCE-EXECUTION, 227.685546, 242.445212, 14.759666, 0.000000, BEGIN
State, 100144483, REDUCE-EXECUTION, 242.445212, 722.095934, 479.650722, 0.000000, BEGIN
State, 100144483, REDUCE-EXECUTION, 722.095934, 812.021839, 89.925905, 0.000000, END
State, 100144483, REDUCE-EXECUTION, 812.021839, 818.707375, 6.685536, 0.000000, END
State, 100030591, BLOCK, 0.000000, 15.000000, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 15.000000, 15.036428, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 15.036428, 30.036428, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 30.036428, 30.072856, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 30.072856, 45.072856, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 45.072856, 45.109284, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 45.109284, 60.109284, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 60.109284, 60.145712, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 60.145712, 75.145712, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 75.145712, 75.182140, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 75.182140, 90.182140, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 90.182140, 90.218568, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 90.218568, 105.218568, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 105.218568, 105.254996, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 105.254996, 120.254996, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 120.254996, 120.291424, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 120.291424, 135.291424, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 135.291424, 135.327852, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 135.327852, 150.327852, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 150.327852, 150.364280, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 150.364280, 165.364280, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 165.364280, 165.400708, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 165.400708, 180.400708, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 180.400708, 180.437136, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 180.437136, 195.437136, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 195.437136, 195.473564, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 195.473564, 210.473564, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 210.473564, 210.509992, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 210.509992, 225.509992, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 225.509992, 225.546420, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 225.546420, 240.546420, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 240.546420, 240.582848, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 240.582848, 255.582848, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 255.582848, 255.619276, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 255.619276, 270.619276, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 270.619276, 270.655704, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 270.655704, 285.655704, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 285.655704, 285.692132, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 285.692132, 300.692132, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 300.692132, 300.728560, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 300.728560, 315.728560, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 315.728560, 315.764988, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 315.764988, 330.764988, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 330.764988, 330.801416, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 330.801416, 345.801416, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 345.801416, 345.837844, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 345.837844, 360.837844, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 360.837844, 360.874272, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 360.874272, 375.874272, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 375.874272, 375.910700, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 375.910700, 390.910700, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 390.910700, 390.947128, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 390.947128, 405.947128, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 405.947128, 405.983556, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 405.983556, 420.983556, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 420.983556, 421.019984, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 421.019984, 436.019984, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 436.019984, 436.056412, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 436.056412, 451.056412, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 451.056412, 451.092840, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 451.092840, 466.092840, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 466.092840, 466.129268, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 466.129268, 481.129268, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 481.129268, 481.165696, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 481.165696, 496.165696, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 496.165696, 496.202124, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 496.202124, 511.202124, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 511.202124, 511.238552, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 511.238552, 526.238552, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 526.238552, 526.274980, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 526.274980, 541.274980, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 541.274980, 541.311408, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 541.311408, 556.311408, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 556.311408, 556.347836, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 556.347836, 571.347836, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 571.347836, 571.384264, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 571.384264, 586.384264, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 586.384264, 586.420692, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 586.420692, 601.420692, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 601.420692, 601.457120, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 601.457120, 616.457120, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 616.457120, 616.493548, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 616.493548, 631.493548, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 631.493548, 631.529976, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 631.529976, 646.529976, 15.000000, 0.000000, COMPUTATION
